row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
707,478,Italia,"Capranica Prenestina, frazione di Guadagnolo",Santa Maria della Mentorella,17-7-1898,#,no,#,,,,,,,,ERR - Frate Anselmo: la colloca a Tivoli; data l'incoronazione17 agosto 1898. L'incoronazione avvenne nel 1901.
708,711,Polonia,Rzeszów,Santa Maria Assunta,31-7-1898,#,no,#,place+title,matka-boza-rzeszowska-rzeszow,Rzeszów,Matka Boża Rzeszowska,1763-09-08,LIT,no,"ERR - Frate Anselmo: la colloca a Ressova (Premislia). Frate Anselmo: data l’incoronazione 31 luglio 1898, ma la stessa non è mai avvenuta."
709,573,Italia,Senigallia,Santa Maria della Speranza,28-8-1898,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 28 agosto 1898. Nessun riferimento in internet.
710,688,Italia,Perugia,Santa Maria delle Grazie,4-9-1898,B.P.,sì,2,,,,,,,,Frate Anselmo: data l'incoronazione 4 novembre 1898.
711,292,Francia,Ferrières En Gàtinais,Nostra Signora di Betlemme,6-9-1898,B.P.,sì,1,,,,,,,,Frate Anselmo: data l'incoronazione 12 maggio 1898.
712,569,Italia,Fabriano,Santa Maria del Buon Gesù,8-9-1898,Capitolo,sì,1,place+title+year,madonna-del-buon-gesu-fabriano,Fabriano,Madonna del Buon Gesù,1898-09-08,AAS,yes,ERR - Frate Anselmo: data l'incoronazione 19 marzo 1898.
713,373,Italia,Caserta,Santa Maria Addolorata,9-10-1898,Capitolo,sì,1,,,,,,,,
714,340,Italia,"Casalbordino, frazione di Miracoli",Santa Maria dei Miracoli,11-6-1899,Capitolo,sì,1,place+year,beata-maria-virgo-a-miraculis-casalbordino,Casalbordino,Beata Maria Virgo « a Miraculis »,1899-06-11,AAS,yes,ERR - Frate Anselmo: data l'incoronazione 13 dicembre 1896.
715,500,Italia,Roma,Santa Maria in Portico,16-7-1899,Capitolo,sì,2,,,,,,,,
716,242,Belgio,Anversa,Nostra Signora di Anversa,15-8-1899,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
717,515,Italia,Valentano,Madonna della Salute,20-8-1899,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
718,628,Italia,Andria,Madonna dell'AItomare,3-9-1899,Capitolo,sì,1,,,,,,,,
719,719,Polonia,Stara Wies,Nostra Signora di Stara Wiejska,8-9-1899,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
720,616,Italia,Rivoli,Santa Maria della Stella,17-9-1899,Capitolo,sì,1,,,,,,,,
721,699,Italia,"Caprino Veronese, frazione di Spiazzi",Santa Maria Addolorata,17-9-1899,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con quella d'incoronazione e la colloca a Verona.
722,706,Malta,Mellieħa,Nostra Signora di Mellieħa,24-9-1899,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
