row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,taken,why_not,image_id,image_locality,image_title,image_dates,other_sources,date_agrees,rome_alignment,annotazioni
17,79,Italia,Roma,Madonna con Bambino,11-8-1641,Capitolo,sì,1,yes,,santa-maria-in-s-cosimato-in-trastevere-rome-san,"Rome, San Cosimato in Trastevere",Santa Maria in S. Cosimato in Trastevere,1641-08-11,Briccolani,yes,AUTO,ERR - Briccolani: incoronazione nell'anno 1641 e del Bambino nel 1644.
18,10,Città del Vaticano,Città del Vaticano,Madonna della Febbre,31-1-1643,Capitolo,sì,1,yes,,madonna-della-febbre-rome-vatican-basilica-sacri,"Rome, Vatican Basilica (sacristy)",Madonna della Febbre,1631-08-27; 1697-08-15,ACSP; Balzamo; Briccolani; Zander/Magister,yes,PICK,
19,60,Italia,Roma,Madonna Advocata,1-2-1643,Capitolo,sì,1,yes,,santa-maria-in-via-lata-rome-santa-maria-in-via,"Rome, Santa Maria in Via Lata",Santa Maria in Via Lata,1643-02-01,Briccolani,yes,AUTO,
20,104,Italia,Roma,Madonna del Pianto,20-5-1643,Capitolo,sì,1,yes,,santa-maria-del-pianto-rome-santa-maria-del-pian,"Rome, Santa Maria del Pianto",Santa Maria del Pianto,1643-05-20,Briccolani,yes,AUTO,Briccolani: corona al Bambino anno 1651.
21,7,Città del Vaticano,Città del Vaticano,Madonna del Soccorso,17-11-1643,Capitolo,sì,1,yes,,madonna-del-soccorso-rome-vatican-basilica-cappe,"Rome, Vatican Basilica (Cappella Gregoriana)",Madonna del Soccorso,1643-11-17,Bombelli; Briccolani; Zander/Magister,yes,AUTO,Bombelli: corona al Bambino nel 1647. Briccolani: corona al Bambino nel 1647.
22,116,Italia,Roma,Madonna delle Grazie,9-6-1644,Capitolo,sì,1,yes,,santa-maria-delle-grazie-a-porta-angelica-rome-s,"Rome, Santa Maria delle Grazie a Porta Angelica",Santa Maria delle Grazie a Porta Angelica,1644-06-09; 1924-06-22,Bombelli; Briccolani,yes,AUTO,
23,76,Italia,Roma,Madonna di Loreto,12-12-1644,Capitolo,sì,1,yes,,santa-maria-di-loreto-in-s-salvator-in-lauro-rom,"Rome, San Salvatore in Lauro",Santa Maria di Loreto in S. Salvator in Lauro,1644-12-12; 1836-12-09,Bombelli; Briccolani,yes,AUTO,Bombelli: corona al Bambino due anni dopo l'incoronazione. Briccolani: corona al Bambino anno 1646.
24,80,Italia,Roma,Madonna con Bambino,5-1-1645,Capitolo,sì,1,yes,,santa-maria-in-s-cosimato-in-trastevere-rome-san,"Rome, San Cosimato in Trastevere",Santa Maria in S. Cosimato in Trastevere,1641-08-11,Briccolani,±1,PICK,
25,5,Città del Vaticano,Città del Vaticano,Madonna della Colonna,7-2-1645,Capitolo,sì,1,yes,,santa-maria-della-colonna-nella-basilica-vatican,"Rome, Vatican Basilica (Madonna della Colonna)",Santa Maria della Colonna nella Basilica Vaticana,1645-01-01,Bombelli; Briccolani; Zander/Magister,yes,PICK,Bombelli: corona al Bambino 11 ottobre 1645 con richiesta del giorno 12 giugno 1645. Briccolani: corona al Bambino anno 1645. ERR - Frate Anselmo: data l'incoronazione 1 gennaio 1645.
26,41,Italia,Roma,Santa Maria dell'Intercessione,17-6-1645,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-di-s-alessio-rome-sant,"Rome, Sant'Alessio",Santa Maria nella Chiesa di S. Alessio,1645-06-17,Briccolani,yes,PICK,
